district,crop,pattam,soil_type,irrigation_type,land_area_acres,temperature,humidity,rainfall_mm,soil_ph,soil_n,soil_p,soil_k,soil_ec,soil_organic_carbon,yield_per_acre,total_production_kg
Thanjavur,Cauliflower,Chithirai Pattam (Summer),Alluvial,Canal Irrigation,14.13,19.9,85.5,639.5,6.29,86.4,80.5,153.4,1.26,0.42,13771.49,194591.15
Kallakurichi,Chilli,Aadi Pattam (Monsoon Sowing),Sandy Loam,Drip Irrigation,9.86,26.7,70.0,877.3,6.65,145.1,54.3,72.3,1.38,1.09,7592.79,74864.91
Erode,Onion,Chithirai Pattam (Summer),Sandy Soil,Well / Tube Well,19.87,19.8,67.7,521.1,6.41,50.7,57.7,58.2,0.3,0.69,6766.23,134444.99
Kanniyakumari,Pumpkin,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Rainfed,13.53,19.2,69.7,698.0,6.13,66.5,55.4,42.4,1.19,0.4,8227.9,111323.49
Tiruvarur,Little Millet,Chithirai Pattam (Summer),Red Loam,Well / Tube Well,11.75,31.9,63.4,402.1,5.84,52.2,21.2,50.6,1.49,0.37,1098.42,12906.44
Namakkal,Bitter Gourd,Thai Pattam (Winter / Post-Monsoon),Red Loam,Well / Tube Well,16.55,31.7,75.0,588.8,6.73,59.7,33.0,50.0,0.93,0.9,6606.4,109335.92
The Nilgiris,Guava,Purattasi Pattam (Autumn),Clay Soil,Sprinkler,18.63,30.2,68.3,813.4,6.91,259.9,111.3,229.8,1.06,0.63,9345.95,174115.05
Tenkasi,Mango,Thai Pattam (Winter / Post-Monsoon),Red Loam,Canal Irrigation,20.24,33.0,74.2,1144.3,6.64,391.1,237.8,379.3,0.56,0.82,9081.26,183804.7
Ranipet,Drumstick (Moringa),Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Sprinkler,23.33,30.4,86.9,696.2,7.22,59.8,65.2,117.4,1.76,0.98,12651.82,295166.96
Virudhunagar,Maize,Kar (Early Monsoon),Black Cotton Soil,Sprinkler,13.47,26.1,64.8,685.0,6.19,116.9,35.0,83.9,1.06,0.99,3000.07,40410.94
Karur,Sugarcane,Aadi Pattam (Monsoon Sowing),Red Loam,Rainfed,0.61,33.8,71.3,1596.5,7.73,259.0,49.6,100.7,0.71,0.51,47763.38,29135.66
Mayiladuthurai,Gingelly (Sesame),Chithirai Pattam (Summer),Alluvial,Rainfed,20.54,29.0,51.7,506.8,6.79,38.5,23.8,5.0,0.48,0.94,377.84,7760.83
Chennai,Amla (Indian Gooseberry),Chithirai Pattam (Summer),Red Loam,Canal Irrigation,10.12,29.4,73.5,499.3,7.56,173.8,118.9,174.9,1.43,0.61,6518.63,65968.54
Tiruchirappalli,Gingelly (Sesame),Purattasi Pattam (Autumn),Black Cotton Soil,Rainfed,11.14,33.4,79.4,468.4,7.16,17.4,17.7,52.7,0.66,0.88,297.56,3314.82
Mayiladuthurai,Black Pepper,Samba / Thaladi (Main Rice Season),Sandy Loam,Drip Irrigation,2.48,13.9,71.6,2469.8,5.44,78.8,46.3,151.9,0.95,0.96,870.25,2158.22
Madurai,Grapes,Chithirai Pattam (Summer),Black Cotton Soil,Drip Irrigation,12.92,24.3,67.6,496.3,7.48,172.9,172.5,289.9,0.34,0.95,14530.1,187728.89
Thanjavur,Red Gram,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Well / Tube Well,13.83,24.1,73.5,726.6,6.95,27.3,49.6,23.9,1.65,0.94,877.58,12136.93
Namakkal,Cucumber,Samba / Thaladi (Main Rice Season),Red Loam,Rainfed,22.28,31.0,71.4,411.6,6.22,49.2,34.8,22.8,1.02,0.67,6192.57,137970.46
Dharmapuri,Snake Gourd,Chithirai Pattam (Summer),Sandy Loam,Drip Irrigation,12.8,24.3,68.8,391.0,6.5,54.7,33.7,45.5,0.68,0.88,6969.21,89205.89
Coimbatore,Horse Gram,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Sprinkler,23.1,30.3,56.7,409.0,6.31,19.3,26.2,46.8,0.4,0.42,446.62,10316.92
Dindigul,Cardamom,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Rainfed,3.09,19.4,98.0,2762.9,4.65,76.0,49.8,189.0,1.1,1.02,237.38,733.5
Tirunelveli,Amla (Indian Gooseberry),Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Canal Irrigation,22.87,26.1,84.0,718.8,7.95,228.9,205.8,223.9,0.41,0.6,13595.83,310936.63
Tirupathur,Coriander,Aadi Pattam (Monsoon Sowing),Clay Soil,Well / Tube Well,2.28,21.1,69.2,154.5,6.95,35.9,22.3,40.7,0.92,0.35,353.3,805.52
Tiruvarur,Ginger,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Drip Irrigation,10.77,26.2,67.7,1674.3,6.0,96.3,57.4,67.2,1.38,0.58,12153.7,130895.35
Tirupathur,Castor,Aadi Pattam (Monsoon Sowing),Laterite Soil,Rainfed,21.08,29.4,47.1,498.4,6.13,43.6,15.9,27.2,0.88,0.78,589.57,12428.14
Tirunelveli,Bengal Gram,Purattasi Pattam (Autumn),Sandy Loam,Drip Irrigation,4.72,21.2,45.7,445.4,7.65,17.8,16.8,8.5,0.93,1.04,554.85,2618.89
Virudhunagar,Cabbage,Kar (Early Monsoon),Clay Soil,Sprinkler,20.38,17.1,69.8,594.0,6.28,140.0,66.8,112.0,0.55,0.97,15082.26,307376.46
Dharmapuri,Tapioca (Cassava),Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Well / Tube Well,6.0,30.6,60.3,1132.3,6.07,47.1,60.9,130.0,0.46,0.85,19422.38,116534.28
Tirupathur,Groundnut,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Well / Tube Well,6.99,27.9,77.1,596.8,6.96,24.4,62.6,88.0,1.36,1.01,1577.61,11027.49
Coimbatore,Coconut,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Well / Tube Well,9.1,28.0,56.1,1728.8,6.5,719.5,407.6,1222.8,1.79,0.42,12990.92,118217.37
Thanjavur,French Beans,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Canal Irrigation,5.98,21.2,74.8,577.8,5.41,41.6,95.7,37.7,1.24,0.72,3982.46,23815.11
Kancheepuram,Chilli,Purattasi Pattam (Autumn),Sandy Soil,Well / Tube Well,17.7,25.2,49.5,816.0,7.32,86.5,39.6,90.5,0.78,1.07,5868.7,103875.99
Sivaganga,Beetroot,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Canal Irrigation,20.21,20.4,76.8,763.1,6.8,58.0,76.1,75.9,1.01,0.57,10144.98,205030.05
Kallakurichi,Ginger,Kar (Early Monsoon),Red Loam,Sprinkler,5.04,23.4,81.0,1495.4,6.48,41.7,48.7,22.4,1.38,0.73,6626.89,33399.53
Theni,Sugarcane,Thai Pattam (Winter / Post-Monsoon),Red Loam,Canal Irrigation,1.15,35.0,58.9,1664.5,7.65,271.5,63.8,102.9,1.69,0.75,61672.47,70923.34
Dharmapuri,Coconut,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Drip Irrigation,23.31,27.8,68.3,1461.5,6.54,608.6,159.5,1212.8,0.64,0.78,10101.39,235463.4
Kanniyakumari,Coriander,Purattasi Pattam (Autumn),Sandy Soil,Rainfed,2.0,23.2,53.2,229.5,6.41,31.1,36.5,16.4,1.79,0.74,205.64,411.28
Kanniyakumari,Cardamom,Purattasi Pattam (Autumn),Clay Soil,Canal Irrigation,7.72,14.8,51.9,2350.5,5.21,63.8,73.7,169.0,1.32,0.42,375.6,2899.63
Tirunelveli,Black Pepper,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Well / Tube Well,20.12,25.2,81.8,2343.4,5.97,101.8,29.2,146.8,0.99,0.57,1241.22,24973.35
Theni,Maize,Purattasi Pattam (Autumn),Clay Soil,Drip Irrigation,3.7,31.3,66.1,661.0,7.39,131.9,64.9,110.2,1.22,0.46,3984.43,14742.39
Kanniyakumari,Okra (Bhendi),Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Rainfed,12.33,32.9,61.4,830.5,7.16,73.3,60.4,76.1,1.17,1.06,5592.15,68951.21
Virudhunagar,Red Gram,Kar (Early Monsoon),Laterite Soil,Well / Tube Well,10.81,31.2,88.6,641.5,6.84,27.5,41.1,46.5,0.47,0.88,939.1,10151.67
Vellore,Sorghum,Purattasi Pattam (Autumn),Laterite Soil,Drip Irrigation,13.39,32.6,66.6,562.8,7.3,82.4,63.4,64.8,0.45,0.45,2208.77,29575.43
Mayiladuthurai,Onion,Aadi Pattam (Monsoon Sowing),Clay Loam,Canal Irrigation,8.77,23.7,71.3,974.9,7.35,51.4,67.1,44.4,0.35,0.85,3478.42,30505.74
Vellore,Cashew,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Sprinkler,5.96,31.8,53.7,1292.5,6.06,175.6,93.0,55.0,0.21,0.95,960.17,5722.61
Tiruchirappalli,French Beans,Kar (Early Monsoon),Alluvial,Drip Irrigation,23.04,21.3,78.9,622.0,5.75,47.9,75.9,44.9,0.95,0.61,5679.89,130864.67
Kallakurichi,Red Gram,Purattasi Pattam (Autumn),Sandy Soil,Rainfed,10.33,23.7,81.7,786.5,6.88,27.5,54.5,39.7,1.48,1.06,842.68,8704.88
Theni,Little Millet,Samba / Thaladi (Main Rice Season),Sandy Loam,Well / Tube Well,12.18,32.5,75.5,703.2,6.64,40.1,13.4,5.0,0.32,0.43,504.41,6143.71
Kancheepuram,Tapioca (Cassava),Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Drip Irrigation,6.88,30.9,86.3,1076.9,5.12,50.5,55.4,122.4,0.93,0.88,14387.36,98985.04
Ranipet,Cashew,Chithirai Pattam (Summer),Red Loam,Drip Irrigation,20.24,30.3,73.3,1421.1,5.74,305.8,114.4,104.9,0.9,0.86,1675.38,33909.69
Tiruvannamalai,Watermelon,Chithirai Pattam (Summer),Clay Soil,Sprinkler,10.78,29.8,38.2,656.2,6.78,59.6,45.0,66.6,1.06,0.74,15187.12,163717.15
Nagapattinam,Little Millet,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Well / Tube Well,4.88,27.8,79.4,442.3,7.19,46.9,25.1,24.6,0.9,0.72,990.27,4832.52
Kanniyakumari,Guava,Aadi Pattam (Monsoon Sowing),Laterite Soil,Rainfed,7.51,31.7,65.1,963.2,7.26,314.8,192.2,228.9,0.48,1.04,11045.62,82952.61
Kallakurichi,Papaya,Purattasi Pattam (Autumn),Laterite Soil,Canal Irrigation,7.53,28.0,84.0,1392.1,6.39,171.2,159.3,245.6,1.73,0.92,36348.18,273701.8
Erode,Cabbage,Thai Pattam (Winter / Post-Monsoon),Red Loam,Canal Irrigation,22.06,15.5,58.0,543.2,6.16,165.0,51.0,107.5,1.49,0.58,17088.8,376978.93
Thoothukudi,Chilli,Navarai / Sornavari (Summer Rice & Pulses),Laterite Soil,Drip Irrigation,10.48,30.5,66.2,720.5,6.71,65.3,69.9,75.4,1.49,0.42,7008.63,73450.44
Virudhunagar,Pumpkin,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Well / Tube Well,16.53,36.8,50.1,494.2,7.07,54.9,37.7,42.9,0.67,0.93,5370.75,88778.5
Nagapattinam,Drumstick (Moringa),Samba / Thaladi (Main Rice Season),Clay Loam,Canal Irrigation,20.79,36.0,48.4,871.4,6.34,60.8,41.4,55.6,1.01,0.84,7800.15,162165.12
Ranipet,Pomegranate,Samba / Thaladi (Main Rice Season),Alluvial,Drip Irrigation,14.22,26.4,55.7,487.6,7.95,227.7,112.2,212.0,1.63,0.36,5366.08,76305.66
Kallakurichi,Kodo Millet,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Well / Tube Well,3.82,32.4,77.7,571.5,6.11,27.8,25.7,50.7,0.91,0.72,1032.27,3943.27
Ranipet,Kodo Millet,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Canal Irrigation,20.78,32.0,53.1,355.6,5.92,43.6,21.1,16.9,1.16,0.97,742.99,15439.33
Tiruchirappalli,Kodo Millet,Purattasi Pattam (Autumn),Alluvial,Sprinkler,14.46,37.5,84.7,468.9,6.58,35.0,27.1,49.7,1.71,0.36,627.53,9074.08
Ariyalur,Okra (Bhendi),Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Well / Tube Well,19.94,33.0,59.2,952.4,6.96,71.8,30.7,15.9,1.75,0.92,3706.49,73907.41
Karur,Beetroot,Aadi Pattam (Monsoon Sowing),Red Loam,Sprinkler,6.9,15.1,58.1,635.9,7.8,55.9,54.5,139.2,0.36,0.81,8281.89,57145.04
Ranipet,Turmeric,Samba / Thaladi (Main Rice Season),Alluvial,Well / Tube Well,4.29,29.4,55.0,1396.7,7.08,114.0,65.4,162.1,1.1,0.7,11477.92,49240.28
Ranipet,Gingelly (Sesame),Aadi Pattam (Monsoon Sowing),Sandy Soil,Drip Irrigation,14.1,33.6,53.1,427.6,6.83,35.2,26.4,5.0,1.75,0.74,402.26,5671.87
Kanniyakumari,Green Gram,Samba / Thaladi (Main Rice Season),Sandy Soil,Drip Irrigation,10.78,27.7,68.0,622.2,6.7,23.9,54.2,47.7,1.79,0.38,614.07,6619.67
Vellore,Paddy,Chithirai Pattam (Summer),Laterite Soil,Rainfed,13.82,27.8,63.7,1376.3,6.67,83.0,28.6,24.0,1.27,0.44,1803.52,24924.65
Vellore,Okra (Bhendi),Samba / Thaladi (Main Rice Season),Red Loam,Well / Tube Well,17.63,32.6,44.9,787.9,6.51,94.0,38.9,77.6,0.2,0.6,8955.09,157878.24
Tirunelveli,Bengal Gram,Samba / Thaladi (Main Rice Season),Sandy Loam,Rainfed,24.32,20.6,67.3,403.6,7.12,24.7,47.4,31.4,1.58,0.9,813.81,19791.86
Karur,Green Peas,Kar (Early Monsoon),Sandy Loam,Well / Tube Well,22.75,12.4,69.5,585.5,7.65,27.1,49.2,10.3,1.8,0.36,2159.08,49119.07
Coimbatore,Finger Millet,Kar (Early Monsoon),Clay Loam,Sprinkler,14.49,20.9,81.1,842.3,6.18,44.8,18.6,12.4,0.47,0.47,1190.23,17246.43
Virudhunagar,Drumstick (Moringa),Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Sprinkler,4.6,27.2,85.9,829.0,7.0,66.3,42.9,115.0,0.79,0.4,8687.39,39961.99
Cuddalore,Amla (Indian Gooseberry),Samba / Thaladi (Main Rice Season),Red Loam,Sprinkler,0.56,31.8,76.6,752.6,7.38,183.4,149.1,184.2,1.45,1.02,9254.46,5182.5
Kallakurichi,Tomato,Samba / Thaladi (Main Rice Season),Sandy Loam,Rainfed,8.05,22.3,84.3,730.8,7.02,209.5,52.3,105.0,1.51,0.47,12535.75,100912.79
Theni,Cauliflower,Aadi Pattam (Monsoon Sowing),Laterite Soil,Rainfed,19.34,16.5,64.1,688.9,6.57,277.6,107.9,134.0,0.58,0.79,16278.78,314831.61
Thanjavur,Watermelon,Aadi Pattam (Monsoon Sowing),Clay Soil,Drip Irrigation,15.59,31.6,48.2,343.2,6.74,56.0,20.4,100.7,0.76,0.42,15812.66,246519.37
Kancheepuram,French Beans,Kar (Early Monsoon),Black Cotton Soil,Canal Irrigation,9.31,25.5,85.5,382.2,5.93,65.7,79.0,61.3,1.56,0.73,4820.8,44881.65
Kancheepuram,Tomato,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Drip Irrigation,10.3,23.5,63.7,722.4,5.84,132.0,82.6,62.6,0.54,0.74,10091.56,103943.07
Dindigul,Beetroot,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Rainfed,1.16,21.5,76.4,604.5,6.89,45.9,64.6,26.9,0.71,1.03,8799.54,10207.47
Tenkasi,Chilli,Aadi Pattam (Monsoon Sowing),Red Loam,Canal Irrigation,14.88,29.2,61.6,875.6,5.74,41.0,69.6,51.2,0.34,0.89,4909.87,73058.87
Coimbatore,Beetroot,Kar (Early Monsoon),Alluvial,Well / Tube Well,11.0,16.6,87.9,616.1,7.09,36.1,101.6,139.5,1.11,0.82,12369.75,136067.25
Chennai,Green Gram,Aadi Pattam (Monsoon Sowing),Clay Soil,Rainfed,19.63,32.4,75.7,624.6,6.23,27.0,68.3,37.6,1.01,0.86,608.48,11944.46
Dindigul,Snake Gourd,Purattasi Pattam (Autumn),Laterite Soil,Drip Irrigation,23.09,27.1,49.1,541.5,6.84,56.7,26.6,64.4,0.33,0.4,9808.27,226472.95
Erode,French Beans,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Rainfed,7.35,17.5,65.7,590.5,6.36,39.1,93.9,62.1,1.45,0.58,5563.41,40891.06
Tirupathur,Cucumber,Purattasi Pattam (Autumn),Alluvial,Well / Tube Well,21.12,26.9,68.8,474.3,7.28,44.6,31.4,12.5,1.12,0.48,5168.73,109163.58
Vellore,Red Gram,Kar (Early Monsoon),Sandy Soil,Drip Irrigation,18.51,28.5,58.0,884.6,7.56,32.9,44.5,21.8,1.54,1.09,903.33,16720.64
Krishnagiri,Chilli,Chithirai Pattam (Summer),Red Loam,Rainfed,16.12,25.7,76.1,771.3,6.7,116.3,64.0,50.0,0.24,0.69,6119.7,98649.56
Dharmapuri,Maize,Samba / Thaladi (Main Rice Season),Clay Soil,Drip Irrigation,21.67,23.4,73.4,644.9,6.63,121.0,63.4,69.9,1.74,0.84,3671.54,79562.27
Tiruchirappalli,Sugarcane,Purattasi Pattam (Autumn),Sandy Loam,Rainfed,3.66,36.8,66.2,1521.2,7.6,227.2,96.3,115.1,0.75,0.96,57005.41,208639.8
Tenkasi,Snake Gourd,Kar (Early Monsoon),Sandy Soil,Rainfed,1.1,29.1,55.2,772.2,7.21,63.5,46.6,21.5,1.3,0.55,6149.89,6764.88
Ariyalur,Grapes,Chithirai Pattam (Summer),Clay Loam,Drip Irrigation,17.52,21.6,52.5,791.1,7.07,180.6,91.4,276.6,1.1,0.45,16579.28,290468.99
Thanjavur,Cowpea,Kar (Early Monsoon),Sandy Loam,Drip Irrigation,17.74,25.4,72.5,494.7,7.16,29.1,49.4,30.4,0.67,0.83,823.89,14615.81
Pudukkottai,Bottle Gourd,Kar (Early Monsoon),Clay Soil,Well / Tube Well,0.61,24.4,55.5,633.5,7.03,51.7,13.8,54.5,1.76,0.61,12339.57,7527.14
Chennai,Carrot,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Canal Irrigation,8.05,14.9,66.0,764.7,6.77,41.8,60.0,94.9,0.63,0.67,13798.98,111081.79
Tenkasi,French Beans,Kar (Early Monsoon),Clay Soil,Sprinkler,22.49,19.9,90.4,845.6,5.16,61.6,54.8,62.7,1.54,0.75,2632.54,59205.82
Pudukkottai,Chilli,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Canal Irrigation,23.84,27.9,62.5,649.7,6.56,98.0,49.4,50.0,1.73,1.06,5748.8,137051.39
Mayiladuthurai,Cabbage,Purattasi Pattam (Autumn),Clay Soil,Canal Irrigation,16.9,19.6,56.6,873.3,6.56,179.0,82.3,68.6,1.17,1.06,11737.28,198360.03
Coimbatore,Kodo Millet,Chithirai Pattam (Summer),Sandy Soil,Canal Irrigation,7.04,21.2,75.4,684.8,6.99,49.8,17.1,87.6,0.94,0.82,595.53,4192.53
Dharmapuri,Bottle Gourd,Samba / Thaladi (Main Rice Season),Red Loam,Drip Irrigation,22.29,27.7,76.0,733.2,7.35,67.4,27.4,34.7,0.42,0.86,14771.67,329260.52
Madurai,Green Gram,Chithirai Pattam (Summer),Laterite Soil,Rainfed,12.18,23.8,79.5,625.4,5.96,20.5,50.7,28.8,0.75,0.54,271.94,3312.23
Thoothukudi,Guava,Samba / Thaladi (Main Rice Season),Sandy Loam,Rainfed,21.3,24.3,75.8,879.4,7.09,218.4,128.0,255.8,0.81,1.07,9190.33,195754.03
Sivaganga,Tapioca (Cassava),Purattasi Pattam (Autumn),Sandy Loam,Drip Irrigation,12.97,32.4,33.0,1142.9,5.46,43.7,62.3,83.7,1.09,1.06,13889.6,180148.11
Tiruvarur,Jasmine (Mullai / Madurai Malli),Purattasi Pattam (Autumn),Red Loam,Sprinkler,19.17,31.1,61.4,964.8,6.48,80.6,418.3,251.4,0.63,1.08,3213.56,61603.95
Tiruvannamalai,Onion,Aadi Pattam (Monsoon Sowing),Sandy Soil,Drip Irrigation,21.93,20.6,62.3,774.8,6.69,55.7,46.8,38.4,1.02,0.43,5166.56,113302.66
Coimbatore,Sorghum,Chithirai Pattam (Summer),Sandy Loam,Drip Irrigation,9.13,28.9,57.9,540.2,7.57,79.7,63.4,43.7,0.85,0.55,2015.37,18400.33
Kanniyakumari,Amla (Indian Gooseberry),Aadi Pattam (Monsoon Sowing),Alluvial,Sprinkler,15.73,34.1,63.1,690.6,7.43,210.2,122.4,219.4,0.76,0.79,9292.96,146178.26
Tiruvallur,Green Peas,Purattasi Pattam (Autumn),Alluvial,Sprinkler,0.65,18.9,61.9,612.1,6.42,36.7,60.1,58.4,1.51,0.87,3772.61,2452.2
Tenkasi,Cotton,Chithirai Pattam (Summer),Laterite Soil,Sprinkler,5.69,29.9,61.0,668.3,7.73,100.5,68.4,74.8,0.51,0.38,1276.62,7263.97
Salem,Beetroot,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Well / Tube Well,13.3,19.8,40.2,536.0,6.58,45.7,67.6,145.2,1.14,0.84,12923.39,171881.09
Tiruvarur,Bengal Gram,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Drip Irrigation,16.55,25.0,53.6,339.6,7.39,16.9,31.4,25.5,0.76,0.77,588.68,9742.65
Krishnagiri,Green Gram,Samba / Thaladi (Main Rice Season),Clay Loam,Canal Irrigation,6.53,32.4,67.5,477.1,6.89,22.1,65.8,5.0,1.69,0.46,563.32,3678.48
Tirunelveli,Finger Millet,Kar (Early Monsoon),Clay Soil,Well / Tube Well,2.48,25.8,70.4,810.5,6.63,58.2,31.8,57.4,0.21,0.43,1986.36,4926.17
Thanjavur,Snake Gourd,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Drip Irrigation,23.55,33.7,59.2,692.3,6.34,73.3,27.6,59.8,0.51,0.39,11105.92,261544.42
Tiruvarur,Gingelly (Sesame),Samba / Thaladi (Main Rice Season),Red Loam,Rainfed,13.23,27.0,59.6,474.9,6.64,29.5,23.7,13.3,1.17,0.68,331.05,4379.79
Nagapattinam,Gingelly (Sesame),Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Rainfed,19.36,35.0,89.7,515.0,7.82,32.5,16.4,15.8,0.95,1.1,204.88,3966.48
Ramanathapuram,Cowpea,Kar (Early Monsoon),Clay Soil,Sprinkler,17.58,36.3,71.3,530.0,6.44,22.8,34.8,5.0,1.03,0.79,297.94,5237.79
Tiruvallur,Watermelon,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Sprinkler,15.98,34.7,80.8,430.6,6.16,57.4,41.7,91.7,0.35,1.04,19349.4,309203.41
Tirupathur,Bitter Gourd,Kar (Early Monsoon),Clay Soil,Sprinkler,8.02,30.9,71.2,593.6,7.07,35.8,51.4,34.8,1.36,0.74,3824.65,30673.69
Tiruvarur,Pearl Millet,Purattasi Pattam (Autumn),Black Cotton Soil,Well / Tube Well,19.84,31.6,62.2,604.8,7.38,47.7,21.7,13.1,0.86,0.59,739.83,14678.23
Cuddalore,Muskmelon,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Rainfed,18.53,30.8,81.9,582.0,6.41,69.6,25.9,75.0,1.22,0.37,9642.6,178677.38
Madurai,Sugarcane,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Canal Irrigation,24.82,29.2,71.8,1608.0,7.3,248.2,57.3,105.4,0.23,0.59,65596.02,1628093.22
Tiruppur,Amla (Indian Gooseberry),Purattasi Pattam (Autumn),Red Loam,Canal Irrigation,22.71,22.9,64.1,690.4,7.65,214.8,99.4,225.6,1.79,0.75,11004.24,249906.29
Salem,Cotton,Samba / Thaladi (Main Rice Season),Laterite Soil,Rainfed,19.18,32.4,59.1,725.1,7.35,121.8,70.0,58.0,1.71,0.67,1214.35,23291.23
Tenkasi,Sugarcane,Samba / Thaladi (Main Rice Season),Clay Loam,Canal Irrigation,10.69,27.5,65.0,1634.4,7.37,153.5,72.9,128.5,0.34,0.38,64669.05,691312.14
Kanniyakumari,Okra (Bhendi),Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Well / Tube Well,19.64,25.5,57.6,564.8,6.9,93.2,33.0,72.9,1.31,0.53,8113.95,159357.98
Ramanathapuram,Radish,Chithirai Pattam (Summer),Sandy Loam,Canal Irrigation,19.24,23.0,47.8,519.5,6.51,34.3,19.3,52.9,1.78,0.6,9771.01,187994.23
Krishnagiri,Watermelon,Aadi Pattam (Monsoon Sowing),Sandy Loam,Drip Irrigation,17.48,33.8,74.3,504.0,6.03,40.7,37.9,74.9,0.29,0.91,20546.26,359148.62
Sivaganga,Castor,Purattasi Pattam (Autumn),Clay Soil,Well / Tube Well,22.97,24.2,56.8,417.0,5.97,70.0,39.2,5.0,1.43,1.1,580.48,13333.63
Tirunelveli,Pomegranate,Purattasi Pattam (Autumn),Black Cotton Soil,Drip Irrigation,3.02,25.2,96.6,471.3,6.89,272.6,109.2,220.8,1.45,0.8,6058.59,18296.94
Theni,Brinjal,Aadi Pattam (Monsoon Sowing),Sandy Loam,Sprinkler,17.67,29.8,96.6,767.9,6.86,88.6,73.9,40.1,0.45,0.42,16342.21,288766.85
Chennai,Gingelly (Sesame),Aadi Pattam (Monsoon Sowing),Clay Loam,Well / Tube Well,24.08,31.4,49.3,100.0,7.39,29.8,24.5,51.3,0.2,0.82,279.48,6729.88
Thanjavur,Chilli,Aadi Pattam (Monsoon Sowing),Alluvial,Drip Irrigation,5.59,23.5,69.3,748.7,6.57,78.5,54.7,57.7,0.65,0.66,5450.49,30468.24
Thanjavur,Red Gram,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Drip Irrigation,10.25,24.3,45.7,639.0,7.31,26.5,43.2,5.0,0.32,0.65,812.5,8328.12
Virudhunagar,Red Gram,Kar (Early Monsoon),Clay Soil,Well / Tube Well,20.38,29.4,68.5,736.8,7.52,24.4,38.5,23.2,0.73,0.42,722.16,14717.62
Dharmapuri,Muskmelon,Purattasi Pattam (Autumn),Black Cotton Soil,Drip Irrigation,21.43,30.8,53.6,556.1,6.83,34.3,23.1,89.3,0.35,0.45,8756.25,187646.44
Thanjavur,Bengal Gram,Samba / Thaladi (Main Rice Season),Laterite Soil,Well / Tube Well,6.95,22.1,65.2,226.0,6.57,20.2,27.5,33.9,1.39,0.84,543.56,3777.74
Tenkasi,Cabbage,Aadi Pattam (Monsoon Sowing),Sandy Soil,Well / Tube Well,16.02,14.2,93.1,695.8,6.41,183.0,47.4,136.7,1.4,0.97,18141.12,290620.74
Salem,Groundnut,Purattasi Pattam (Autumn),Clay Soil,Canal Irrigation,21.99,27.1,65.1,696.4,6.02,34.5,31.9,54.0,0.61,1.02,1423.11,31294.19
Tenkasi,Muskmelon,Kar (Early Monsoon),Black Cotton Soil,Well / Tube Well,19.21,31.5,69.6,501.4,7.27,56.1,21.1,5.0,1.63,1.07,9349.1,179596.21
Chengalpattu,Horse Gram,Chithirai Pattam (Summer),Alluvial,Drip Irrigation,16.57,32.1,55.4,249.7,6.66,22.4,51.2,71.0,1.66,0.45,503.76,8347.3
Karur,Tapioca (Cassava),Aadi Pattam (Monsoon Sowing),Alluvial,Well / Tube Well,12.91,26.8,61.5,992.5,6.71,43.7,62.0,61.9,0.26,0.63,16034.51,207005.52
Nagapattinam,Cauliflower,Aadi Pattam (Monsoon Sowing),Laterite Soil,Drip Irrigation,23.78,15.9,64.9,712.7,6.86,133.7,99.4,145.2,0.84,0.73,15863.64,377237.36
